Date,Open,High,Low,Close,Volume
31/05/2021,"1,326.65","1,328.05","1,307.56","1,328.05",737.18K
28/05/2021,"1,307.79","1,323.09","1,300.06","1,320.46",768.85K
27/05/2021,"1,318.42","1,319.67","1,299.99","1,303.57",733.00K
26/05/2021,"1,308.04","1,317.30","1,304.68","1,316.70",713.07K
25/05/2021,"1,299.19","1,308.58","1,297.23","1,308.58",679.06K
24/05/2021,"1,287.50","1,299.83","1,287.36","1,297.98",715.51K
21/05/2021,"1,272.84","1,289.03","1,268.46","1,283.93",698.93K
20/05/2021,"1,264.62","1,278.22","1,255.78","1,278.22",745.21K
19/05/2021,"1,254.78","1,262.71","1,250.58","1,262.49",694.35K
18/05/2021,"1,259.57","1,262.22","1,249.02","1,252.68",692.48K
17/05/2021,"1,272.55","1,277.83","1,258.50","1,258.70",758.29K
14/05/2021,"1,266.43","1,271.45","1,259.97","1,266.36",730.99K
13/05/2021,"1,262.98","1,273.49","1,261.99","1,261.99",711.52K
12/5/2021,"1,251.97","1,269.09","1,249.18","1,269.09",700.67K
11/5/2021,"1,265.11","1,272.55","1,256.04","1,256.04",770.09K
10/5/2021,"1,239.96","1,259.58","1,236.85","1,259.58",773.06K
7/5/2021,"1,245.48","1,250.50","1,231.92","1,241.81",783.04K
6/5/2021,"1,255.42","1,261.49","1,246.64","1,250.57",730.50K
5/5/2021,"1,244.69","1,265.93","1,244.69","1,256.43",744.43K
4/5/2021,"1,222.08","1,242.80","1,212.56","1,242.20",798.49K
29/04/2021,"1,234.91","1,239.39","1,231.25","1,239.39",647.16K
28/04/2021,"1,220.26","1,230.91","1,217.49","1,229.55",612.70K
27/04/2021,"1,213.84","1,220.96","1,204.14","1,219.75",618.17K
26/04/2021,"1,251.25","1,251.25","1,214.14","1,215.77",744.95K
23/04/2021,"1,227.18","1,248.53","1,216.15","1,248.53",716.52K
22/04/2021,"1,264.31","1,271.98","1,227.82","1,227.82",770.37K
20/04/2021,"1,267.74","1,286.32","1,261.28","1,268.28",843.60K
19/04/2021,"1,243.58","1,260.58","1,233.77","1,260.58",817.13K
16/04/2021,"1,245.06","1,254.61","1,227.14","1,238.71",986.88K
15/04/2021,"1,262.25","1,265.87","1,247.25","1,247.25",806.49K
14/04/2021,"1,240.90","1,255.87","1,233.01","1,255.87",861.96K
13/04/2021,"1,262.44","1,268.02","1,247.66","1,248.33",1.03M
12/4/2021,"1,236.79","1,252.45","1,232.35","1,252.45",890.31K
9/4/2021,"1,231.51","1,234.98","1,227.60","1,231.66",732.82K
8/4/2021,"1,242.38","1,246.40","1,232.26","1,234.89",664.51K
7/4/2021,"1,237.39","1,242.38","1,232.52","1,242.38",727.82K
6/4/2021,"1,233.37","1,244.63","1,231.14","1,239.96",694.06K
5/4/2021,"1,245.28","1,245.28","1,228.18","1,236.05",693.04K
2/4/2021,"1,225.76","1,228.29","1,221.07","1,224.45",661.89K
1/4/2021,"1,194.59","1,217.26","1,192.83","1,216.10",672.84K
31/03/2021,"1,186.36","1,196.45","1,186.36","1,191.44",703.08K
30/03/2021,"1,179.64","1,187.29","1,172.85","1,186.36",780.73K
29/03/2021,"1,169.65","1,175.77","1,165.78","1,175.68",660.95K
26/03/2021,"1,162.71","1,165.76","1,137.90","1,162.21",670.46K
25/03/2021,"1,164.41","1,170.76","1,154.44","1,163.10",690.73K
24/03/2021,"1,169.42","1,174.20","1,154.22","1,161.81",750.48K
23/03/2021,"1,190.28","1,191.47","1,177.10","1,183.45",683.72K
22/03/2021,"1,200.05","1,200.21","1,189.31","1,194.43",700.87K
19/03/2021,"1,195.47","1,199.67","1,191.96","1,194.05",680.90K
18/03/2021,"1,196.60","1,200.94","1,191.94","1,200.94",628.64K
17/03/2021,"1,178.64","1,186.09","1,176.26","1,186.09",701.09K
16/03/2021,"1,184.91","1,184.91","1,171.76","1,179.90",683.85K
15/03/2021,"1,183.89","1,186.06","1,178.80","1,184.56",676.96K
12/3/2021,"1,185.21","1,186.52","1,178.14","1,181.56",624.71K
11/3/2021,"1,170.08","1,183.73","1,170.08","1,181.73",629.10K
10/3/2021,"1,163.86","1,170.59","1,154.89","1,170.08",723.92K
9/3/2021,"1,160.96","1,166.42","1,150.94","1,161.97",641.43K
8/3/2021,"1,180.33","1,181.25","1,164.02","1,168.27",652.70K
5/3/2021,"1,164.19","1,169.56","1,155.60","1,168.69",594.84K
4/3/2021,"1,191.78","1,191.90","1,159.48","1,168.52",673.45K
3/3/2021,"1,184.73","1,189.18","1,180.25","1,186.95",631.67K
2/3/2021,"1,196.16","1,196.16","1,181.99","1,186.61",577.01K
1/3/2021,"1,176.93","1,186.82","1,174.45","1,186.17",643.38K
26/02/2021,"1,148.88","1,169.28","1,148.88","1,168.47",554.46K
25/02/2021,"1,169.97","1,169.97","1,155.74","1,165.43",510.43K
24/02/2021,"1,184.32","1,185.58","1,154.36","1,162.01",603.00K
23/02/2021,"1,174.57","1,184.32","1,168.32","1,177.64",598.27K
22/02/2021,"1,173.57","1,182.67","1,169.12","1,175.04",630.04K
19/02/2021,"1,160.65","1,178.18","1,157.60","1,173.50",578.28K
18/02/2021,"1,157.10","1,174.38","1,148.66","1,174.38",614.82K
17/02/2021,"1,127.46","1,155.78","1,127.46","1,155.78",568.03K
9/2/2021,"1,090.88","1,114.93","1,078.98","1,114.93",519.81K
8/2/2021,"1,127.06","1,127.06","1,075.10","1,083.18",696.60K
5/2/2021,"1,114.79","1,126.91","1,112.19","1,126.91",529.87K
4/2/2021,"1,112.97","1,117.88","1,098.85","1,112.19",523.41K
3/2/2021,"1,084.87","1,113.24","1,082.95","1,111.29",703.18K
2/2/2021,"1,036.95","1,075.53","1,029.36","1,075.53",602.62K
1/2/2021,"1,056.61","1,074.52","1,035.51","1,035.51",634.33K
29/01/2021,998.33,"1,076.11",998.33,"1,056.61",797.39K
28/01/2021,"1,041.71","1,052.16","1,022.77","1,023.94",767.87K
27/01/2021,"1,122.41","1,132.99","1,088.86","1,097.17",785.70K
26/01/2021,"1,164.97","1,164.97","1,121.03","1,136.12",782.27K
25/01/2021,"1,164.20","1,172.18","1,162.80","1,166.05",707.24K
22/01/2021,"1,166.77","1,175.72","1,161.43","1,166.78",758.32K
21/01/2021,"1,146.86","1,164.21","1,132.66","1,164.21",721.92K
20/01/2021,"1,136.50","1,142.48","1,098.05","1,134.68",839.30K
19/01/2021,"1,189.91","1,189.91","1,117.17","1,131.00",986.19K
18/01/2021,"1,198.79","1,200.85","1,190.33","1,191.94",747.42K
15/01/2021,"1,188.84","1,197.74","1,188.84","1,194.20",783.11K
14/01/2021,"1,189.48","1,190.50","1,178.84","1,187.40",779.34K
13/01/2021,"1,197.32","1,200.82","1,183.18","1,186.05",819.29K
12/1/2021,"1,190.38","1,192.28","1,179.24","1,192.28",719.94K
11/1/2021,"1,176.47","1,186.45","1,175.00","1,184.89",845.85K
8/1/2021,"1,164.10","1,176.33","1,160.48","1,167.69",808.31K
7/1/2021,"1,147.26","1,156.49","1,143.44","1,156.49",763.74K
6/1/2021,"1,139.12","1,152.85","1,133.70","1,143.21",790.45K
5/1/2021,"1,116.96","1,134.45","1,116.49","1,132.55",763.43K
4/1/2021,"1,113.77","1,126.43","1,113.59","1,120.47",764.04K
31/12/2020,"1,098.25","1,105.33","1,096.27","1,103.87",527.82K
30/12/2020,"1,099.78","1,108.83","1,094.91","1,097.54",676.98K
29/12/2020,"1,090.49","1,102.79","1,087.93","1,099.49",678.82K
28/12/2020,"1,094.37","1,096.11","1,083.90","1,091.33",723.88K
25/12/2020,"1,068.83","1,084.42","1,061.83","1,084.42",652.81K
24/12/2020,"1,083.83","1,084.76","1,046.89","1,067.52",757.32K
23/12/2020,"1,087.89","1,094.09","1,077.92","1,078.90",813.17K
